Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Worcester County,2015,Total Female,1101,1134,1376,1250,1104,1285,1212,1192,1368,1670,2122,2282,2196,2187,1807,1322,947,923,26478
Queen Anne's County,2010,Total Female,1353,1594,1630,1521,1062,1045,1096,1507,1977,2175,2081,1665,1570,1317,847,677,477,461,24055
Frederick County,2035,Total,21725,20878,20223,17340,15042,18252,23557,23800,21414,17841,16596,15147,16132,17268,17411,14341,10252,12141,319360
Cecil County,2010,Hispanic Male,225,204,178,175,184,188,159,130,136,93,84,41,34,18,16,9,6,7,1887
Somerset County,2025,Total Non-Hispanic White,525,506,501,501,658,617,689,770,839,842,873,896,1264,1163,957,723,465,371,13160
St. Mary's County,2025,Non-Hisp Black Male,695,718,769,785,623,585,605,623,607,509,534,648,629,434,250,177,122,76,9389
Washington County,2045,Total Hispanic,1202,1218,1226,1185,1226,1101,1151,1196,1010,837,701,612,624,595,493,260,178,25,14840
Garrett County,2025,Total,1572,1585,1644,1841,1725,1677,1632,1657,1812,1714,1974,2183,2456,2324,1852,1448,962,848,30906
Cecil County,2030,Total Non-Hispanic Black,730,692,750,674,596,748,929,918,707,597,732,699,750,560,358,206,91,69,10806
Talbot County,2020,Hispanic Female,162,173,140,104,72,71,92,112,100,72,60,43,34,19,17,11,3,2,1287
Prince George's County,2020,Hispanic Male,7696,7673,6998,6900,5901,7578,8900,9656,9025,7054,5322,3781,2606,1574,557,329,187,68,91805
Dorchester Co,2015,Hispanic Male,137,94,47,50,56,73,100,77,57,45,24,20,10,8,8,5,3,2,816
Montgomery County,2045,Total Hispanic,24975,24577,23084,21416,19928,18927,19349,19027,19107,17476,17421,18450,18789,16470,13248,10012,7043,4164,313463
Frederick County,2020,Total Non_Hispanic Other,1506,1430,2232,2113,1472,1408,1290,1329,1491,1577,1346,1147,941,648,378,260,198,84,20850
Prince George's County,2015,Total Non-Hispanic Black,34969,34660,35334,38814,41666,40316,35804,35164,37925,42169,44744,40427,33676,26978,17065,10860,6433,5950,562954
Queen Anne's County,2040,Hispanic Female,160,143,127,105,99,103,105,76,80,50,66,61,47,18,16,16,8,2,1282
Frederick County,2045,Non-Hisp Black Female,1581,1486,1604,1581,1384,1273,1411,1448,1608,1677,1650,1318,1161,1077,1073,950,769,705,23756
Queen Anne's County,2010,Total Hispanic,179,140,129,104,140,161,143,113,96,93,55,34,22,15,12,8,5,3,1452
Caroline County,2035,Non-Hisp Other Male,74,74,51,22,12,68,67,45,44,21,20,16,8,11,8,9,6,3,559
St. Mary's County,2010,Non-Hisp Other Male,396,347,307,277,195,156,156,124,155,148,136,94,100,56,31,18,11,7,2714
Kent County,2010,Non-Hisp Black Male,93,76,79,114,107,78,66,63,81,106,109,84,76,85,62,47,30,22,1378
Queen Anne's County,2010,Total Non-Hispanic White,2155,2700,2866,2790,1853,1759,1812,2537,3435,3940,3631,3014,2793,2360,1523,1169,743,653,41733
Caroline County,2045,Non-Hisp White Male,930,1003,1187,1034,770,702,832,1024,899,747,765,1066,931,780,678,620,448,431,14847
Howard County,2015,Total Non-Hispanic Black,3903,4294,5060,4303,3261,3375,4254,4312,4442,4651,4420,3201,2330,2023,1274,894,600,478,57075
Allegany County,2040,Total Non-Hispanic White,2637,2952,3137,3821,3776,2960,3787,3833,3932,4748,3885,4145,3514,3735,3754,3606,2791,2649,63662
St. Mary's County,2015,Total,7555,8077,8197,7869,7487,7401,7564,6865,7013,8193,9183,7815,5813,4595,3347,2296,1445,1485,112200
Allegany County,2020,Total Hispanic,116,116,132,343,329,216,168,153,174,141,128,79,63,44,35,22,18,10,2287
Allegany County,2030,Non-Hisp Other Female,117,100,104,174,261,174,96,74,68,61,48,54,39,23,30,14,13,9,1459
Talbot County,2015,Total Non-Hispanic Black,234,264,335,263,292,271,237,214,239,334,406,377,372,297,233,160,136,98,4762
Calvert County,2015,Non-Hisp Other Male,139,250,305,240,110,99,82,78,106,121,118,97,61,40,28,20,8,3,1905
Carroll County,2045,Total Hispanic,753,763,770,833,776,681,711,698,674,625,614,526,474,224,158,153,79,71,9583
Wicomico County,2035,Non-Hisp White Female,1672,1725,1539,2475,2572,2364,2324,2547,2245,2042,1832,1896,1749,1931,2210,1964,1616,1978,36681
Howard County,2010,Total Non_Hispanic Other,4530,4943,4444,3642,2650,3405,3939,4537,4476,4032,3221,2267,1760,1259,956,596,337,240,51234
Wicomico County,2020,Non-Hisp White Male,1451,1320,1618,2445,2845,2300,1743,1720,1909,1798,1863,2144,2259,1979,1542,1118,579,712,31345
Charles County,2045,Non-Hisp White Female,1084,1060,1076,1152,1113,1119,1134,1101,1160,1299,1454,1369,1388,1230,1350,1605,1556,1884,23134
Worcester County,2035,Hispanic Female,116,106,81,68,69,87,89,75,36,78,64,70,58,46,33,21,14,21,1132
Cecil County,2030,Non-Hisp Other Male,329,259,195,162,294,300,244,168,142,123,100,122,107,101,48,11,10,3,2718
State of Maryland,2040,Hispanic Male,36379,33963,31623,31856,29968,30522,29023,27987,24227,26419,29613,31333,27664,20501,12599,8663,4165,2114,438619
State of Maryland,2010,Hispanic Female,24505,20139,17643,16895,19306,22376,22011,18753,15960,13601,10388,7367,5176,3422,2481,1844,1272,1006,224145
Carroll County,2040,Total Hispanic,731,757,745,769,697,669,685,667,610,618,534,500,348,227,155,133,56,55,8956
Talbot County,2025,Hispanic Male,141,135,147,160,138,102,96,145,189,119,115,67,61,23,9,9,7,12,1675
Queen Anne's County,2010,Non-Hisp Other Female,101,109,69,48,29,26,41,48,40,53,39,35,23,18,5,5,8,3,700
Worcester County,2035,Non-Hisp Black Male,307,283,284,256,269,269,256,234,225,200,180,173,158,165,203,166,108,93,3829
Charles County,2020,Hispanic Female,488,496,512,499,402,469,449,360,366,315,263,226,115,99,58,31,21,23,5192
Queen Anne's County,2015,Total Male,1163,1508,1712,1647,1055,1197,1283,1219,1476,1898,2159,2035,1671,1432,1133,745,376,339,24048
Talbot County,2015,Total Male,846,1015,1116,954,743,905,947,814,963,1119,1275,1294,1284,1363,1245,916,567,513,17879
State of Maryland,2030,Non-Hisp Black Female,64669,63640,65129,66905,64721,68262,72690,79742,76871,69047,63687,63691,67179,66979,55291,42118,28535,30629,1109785
Calvert County,2045,Non-Hisp White Male,1845,2064,2457,2426,1956,1803,1875,2179,2757,3003,2799,2549,2042,1511,1350,1601,1580,1601,37398
Charles County,2010,Hispanic Male,397,315,264,287,278,287,259,221,198,208,141,97,58,29,23,19,9,5,3095
Allegany County,2040,Total Male,1609,1774,1853,2531,2966,2652,3286,3112,2845,3099,2679,2522,2041,1824,1813,1579,1138,1055,40378
Somerset County,2040,Total Male,747,741,789,1250,2007,1231,1066,1077,1136,1030,853,786,764,635,485,565,393,302,15857
Montgomery County,2040,Non-Hisp White Male,7576,7770,8883,8554,7071,9152,8668,8323,9289,12383,13502,12089,9453,8800,9130,9481,7944,8260,166328
Talbot County,2035,Total Female,928,1050,1043,902,781,898,1004,1023,1221,1264,1259,1173,1354,1699,1890,1627,1333,1544,21993
Washington County,2010,Non-Hisp Other Male,419,434,357,262,147,158,140,177,142,146,123,102,76,34,33,21,12,5,2788
Allegany County,2020,Hispanic Male,93,99,110,254,223,135,70,66,61,45,56,41,40,30,25,12,16,7,1383
State of Maryland,2045,Total Male,211539,210951,213476,223182,216815,209813,208093,209492,213416,206705,217297,207870,186698,153086,130903,118111,97927,110121,3345495
Garrett County,2025,Non-Hisp Black Female,43,47,22,25,19,9,13,10,2,1,2,1,0,0,1,0,1,2,198
Dorchester Co,2020,Non-Hisp Other Male,52,50,97,66,34,33,27,27,28,27,26,27,27,19,15,11,3,1,570
Dorchester Co,2020,Total Hispanic,250,266,201,161,131,147,171,192,126,92,70,52,26,27,25,22,14,5,1978
Garrett County,2015,Total Female,737,778,858,877,776,695,788,794,933,1022,1208,1191,1104,973,772,556,400,478,14940
Kent County,2030,Total Non_Hispanic Other,53,35,31,71,130,49,33,20,18,23,25,17,17,25,17,8,7,3,582
Anne Arundel County,2010,Total Hispanic,3914,3054,2638,2478,3413,3684,3511,2804,2182,1674,1247,862,535,308,217,188,116,77,32902
Howard County,2045,Non-Hisp Black Female,2963,3242,3622,3409,2516,2859,3253,3476,3633,3997,4251,3593,3363,2781,2217,1996,1708,1403,54282
Prince George's County,2020,Non-Hisp Other Female,1855,1621,1932,2997,2974,3050,2491,2350,2430,2282,2104,2005,1939,1548,1131,752,390,348,34199
Frederick County,2010,Total Non-Hispanic White,9619,11238,12495,12386,9849,9901,9624,11683,14635,17061,15624,13178,10947,7439,5065,4024,3340,3537,181645
Queen Anne's County,2045,Total Male,1793,2058,2055,1838,1388,1148,1427,1937,2173,2207,1796,2226,1859,1505,1430,1615,1255,1307,31017
Allegany County,2035,Non-Hisp White Male,1406,1633,1711,1951,1907,1709,2139,2077,2430,1989,2146,1856,1851,1998,1824,1535,1023,941,32126
Garrett County,2030,Total Non_Hispanic Other,74,56,61,53,73,93,53,44,27,22,18,14,19,18,9,12,17,10,673
Worcester County,2045,Non-Hisp Black Female,305,296,365,342,302,283,313,410,349,302,302,247,211,222,166,237,253,248,5153
Anne Arundel County,2040,Total Non_Hispanic Other,4753,4777,4630,4218,4091,3667,5421,5004,4386,3708,3290,3446,3288,2787,2230,1722,1354,483,63255
Baltimore City,2035,Non-Hisp White Female,4786,3400,3305,3802,7181,9293,9655,7221,8175,8092,5963,4193,3227,2854,2648,2524,1891,1795,90005
Washington County,2030,Hispanic Female,528,505,458,496,545,460,375,321,270,256,286,244,230,171,121,64,42,7,5379
Anne Arundel County,2035,Total Hispanic,6055,5508,5026,5207,5745,5083,4369,3643,3536,4014,4445,3816,2945,1955,1403,988,576,210,64524
Caroline County,2045,Total Male,1628,1673,1782,1545,1125,975,1088,1372,1223,1010,1004,1358,1177,1042,922,807,590,535,20856
Caroline County,2030,Non-Hisp Black Female,190,159,219,199,208,189,121,159,200,172,209,164,228,222,211,141,84,76,3151
Garrett County,2045,Non-Hisp White Male,694,743,832,843,730,632,676,815,927,958,929,892,950,919,822,725,566,520,14173
Carroll County,2040,Total Male,4732,5369,5399,5296,4518,3877,4459,5165,5335,5412,5106,4556,3715,4116,5045,5274,4207,5463,87044
St. Mary's County,2015,Non-Hisp White Female,2556,2626,2781,2722,2661,2646,2770,2599,2774,3156,3425,3029,2411,1933,1391,1042,650,719,41891
Worcester County,2030,Hispanic Male,105,82,76,90,109,107,72,85,115,124,89,70,65,47,21,18,13,18,1306
Garrett County,2010,Non-Hisp Other Female,21,19,21,11,8,9,10,2,9,7,9,10,10,3,0,3,4,1,157
Worcester County,2015,Non-Hisp White Male,728,857,1029,993,845,897,881,812,1046,1364,1718,1729,1770,1715,1417,1036,644,500,19981
Calvert County,2030,Total Non-Hispanic Black,655,674,738,634,648,550,775,898,979,793,849,867,1114,1091,896,675,394,272,13502
Charles County,2030,Total Male,6646,6665,6810,6598,5286,5431,5962,6116,5556,5001,4584,5230,6023,5667,4234,2646,1628,1018,91101
Washington County,2010,Total Non-Hispanic White,6582,7079,7493,7336,6677,7192,6978,7792,9159,10231,9689,8712,7636,5804,4558,3809,3025,2996,122748
Montgomery County,2030,Total Hispanic,21571,19745,19033,19216,18715,18962,17377,17419,18719,19350,18027,15508,12884,10610,7560,4935,2810,1739,264180
Howard County,2015,Total,19023,19907,23270,21771,18181,19136,20091,19809,21188,23463,25964,22590,18334,14721,9906,6450,4183,4065,312052
Calvert County,2025,Non-Hisp White Female,2044,2254,2201,1907,1778,2080,2511,2529,2304,1852,2090,2876,3258,2655,2042,1563,1044,1235,38223
Somerset County,2035,Total,1620,1515,1534,2865,3623,2161,1924,1755,1989,1617,1551,1504,1418,1298,1479,1156,818,710,30537
Carroll County,2040,Total Female,4455,5050,5043,4947,4196,3554,4575,5534,5661,5605,5207,4714,3926,5165,6235,6971,5919,7994,94751
Kent County,2045,Total,815,966,958,1372,1309,857,846,998,1076,909,1395,1752,1604,1754,1548,1624,1647,2027,23457
Carroll County,2015,Non-Hisp Black Male,106,121,169,253,269,217,232,171,304,272,280,282,173,125,87,40,25,18,3144
Worcester County,2010,Total Male,1204,1291,1392,1453,1288,1195,1124,1243,1600,1968,1921,1941,2012,1729,1459,1048,719,457,25044
Carroll County,2045,Non-Hisp Other Female,422,488,481,508,303,222,210,426,432,393,332,250,196,208,258,133,109,135,5506
Washington County,2020,Hispanic Female,381,400,493,385,321,286,252,230,264,226,215,155,117,68,49,30,23,6,3901
Howard County,2020,Total Non-Hispanic Black,4636,5225,5726,4993,3700,4332,4788,5333,4958,4721,4701,4180,3249,2319,1752,1171,809,668,67261
Anne Arundel County,2020,Non-Hisp White Male,10353,10207,10287,10466,11689,12097,13249,12805,10432,11247,13400,15354,13897,11359,9464,6269,3390,2988,188953
Wicomico County,2010,Non-Hisp White Male,1625,1673,1655,2760,3031,1972,1749,1788,1931,2248,2397,2177,1896,1531,978,822,567,493,31293
Frederick County,2015,Non-Hisp Other Female,617,1007,986,865,632,612,648,732,804,655,574,449,303,214,147,114,72,39,9470
Wicomico County,2030,Hispanic Female,365,308,283,375,387,248,199,232,248,260,196,137,52,56,30,23,7,17,3423
Howard County,2020,Hispanic Female,988,985,1154,1040,950,1012,885,921,970,871,677,515,367,210,137,120,82,40,11924
Harford County,2030,Total Male,8440,8351,7995,7626,7245,7803,8775,8908,8456,7980,6763,7200,7801,8241,7073,4611,3474,2857,129599
Howard County,2025,Hispanic Male,1287,1206,1235,1386,1297,1251,1110,984,986,1062,832,778,566,367,197,130,44,12,14730
Prince George's County,2035,Total Non_Hispanic Other,4681,3890,3695,5555,5681,6041,5130,4663,4935,4674,4362,4520,4045,3125,2458,1911,1097,810,71273
Harford County,2035,Total Non-Hispanic Black,3506,3504,3688,3372,2478,2790,3231,3451,3508,3078,2660,2596,2702,2470,2118,1229,715,559,47655
Frederick County,2045,Total Male,10879,11182,11755,11424,9938,8903,8789,10286,12625,11842,10701,8663,7741,6745,6304,6322,6422,6565,167086
Baltimore County,2015,Total Non-Hispanic White,23239,22559,23936,28424,30210,30522,28080,25823,25492,30466,37786,41477,36998,31259,21436,15750,13566,20521,487544
Harford County,2045,Total Non-Hispanic White,9673,9811,9898,9851,9535,10293,10237,10632,11309,12277,12094,11285,10400,8547,8571,9001,9566,16982,189962
Worcester County,2030,Non-Hisp Other Female,128,149,163,185,53,60,50,39,41,60,76,66,59,68,66,29,19,9,1320
Calvert County,2040,Total Non-Hispanic Black,674,697,812,734,617,492,668,734,1037,1126,1094,864,851,823,1085,995,650,492,14445
Wicomico County,2020,Non-Hisp Black Female,1082,1122,1055,1126,1112,1085,1045,1006,918,736,806,983,969,708,459,290,169,226,14897
Queen Anne's County,2025,Hispanic Female,103,93,101,97,72,74,48,63,59,73,58,51,32,9,6,5,6,3,953
Baltimore City,2045,Total Non_Hispanic Other,1590,1319,1131,2579,2927,2431,1888,1983,2224,2059,2155,3264,3279,2388,1629,883,458,230,34417
Somerset County,2015,Total,1119,1133,1221,2218,3474,1630,1481,1470,1452,1482,1801,1759,1590,1316,985,634,475,459,25699
Carroll County,2015,Non-Hisp White Female,3297,4105,4870,5022,3972,3605,3899,3682,4710,6329,7290,6330,5168,4656,3320,2285,1838,2496,76874
Kent County,2025,Total Non_Hispanic Other,36,28,29,129,110,31,30,17,21,24,16,20,25,26,16,8,5,2,573
Carroll County,2040,Total Non-Hispanic Black,479,431,422,427,381,338,443,655,952,958,762,731,543,687,654,526,297,199,9885
Queen Anne's County,2035,Total Non-Hispanic Black,214,204,226,206,208,228,223,181,350,349,324,309,250,304,345,340,175,150,4586
Montgomery County,2045,Non-Hisp White Female,7614,7087,7433,7502,7142,10249,10180,8503,7861,8962,11238,12999,11020,8761,8583,9603,9551,15305,169593
Frederick County,2040,Non-Hisp White Male,5665,6210,6277,6134,4879,4965,5961,8508,8034,7124,5828,5038,4237,4608,5132,5670,4674,4790,103734
State of Maryland,2040,Total,409702,404991,411042,427313,405211,410901,418611,432639,426300,445446,435542,403984,354695,329797,320075,302963,229734,265566,6834512
Wicomico County,2015,Non-Hisp Black Male,1048,912,1088,997,1072,776,719,634,629,730,786,741,569,454,271,170,106,83,11785
Frederick County,2030,Non-Hisp White Female,5920,5668,4952,4466,4673,7066,7507,6969,5846,5464,4865,5604,6858,7741,6560,5399,4277,5602,105437
Kent County,2040,Non-Hisp Black Female,52,48,51,67,72,54,44,50,52,78,119,97,111,114,148,138,105,260,1660
Cecil County,2020,Non-Hisp Black Female,223,194,243,249,284,307,261,213,262,253,295,295,233,145,94,60,26,30,3667
Allegany County,2020,Total,4891,3631,3351,5004,5275,4424,6094,4770,4688,3889,4345,4648,5084,4772,3952,3326,2141,2118,76403
Cecil County,2045,Non-Hisp Black Female,398,382,404,400,356,348,346,408,443,574,614,468,361,364,306,292,143,100,6707
Charles County,2025,Total,11480,11473,11986,12144,10293,11252,11957,11048,10388,10156,11789,13415,13137,9971,7147,5243,3026,2331,178236
Calvert County,2025,Total Male,2794,2791,2956,3079,2652,2894,3111,3225,3005,2487,2523,3355,3804,3102,2286,1636,954,703,47357
Dorchester Co,2040,Total,2305,2344,2341,2147,1890,1983,2272,2330,2194,2457,2696,2792,2408,2207,2213,1946,1469,1505,39499
Wicomico County,2045,Total Non_Hispanic Other,703,792,825,1015,724,508,543,977,889,774,572,549,399,345,279,172,102,64,10232
Kent County,2045,Total Non_Hispanic Other,45,48,62,107,83,16,15,42,38,27,25,22,21,25,12,7,9,4,608
Carroll County,2035,Non-Hisp Other Male,469,521,465,419,231,263,302,250,243,240,178,151,225,226,234,61,23,12,4513
Harford County,2015,Non-Hisp Black Female,1137,1226,1357,1393,1170,1100,1116,1196,1334,1369,1339,1125,827,600,382,193,184,153,17201
Cecil County,2015,Total,5285,6821,7160,6776,5896,6385,5892,5955,6611,7862,8612,8028,6727,5329,3539,2331,1605,1583,102397
Somerset County,2035,Non-Hisp White Male,259,243,260,282,320,308,381,417,486,470,471,456,476,419,520,417,277,213,6675
Somerset County,2035,Non-Hisp Black Male,383,362,359,750,1510,843,679,616,607,403,278,323,219,160,182,100,89,42,7905
Charles County,2040,Total Male,7063,7438,8033,7826,5926,5640,5791,6295,6778,6653,5775,4981,4472,4797,5015,4203,2552,1570,100808
Talbot County,2015,Hispanic Male,132,128,93,73,83,142,182,116,100,62,56,34,21,13,8,7,5,6,1261
Talbot County,2030,Non-Hisp Black Female,143,139,155,152,155,167,130,151,146,156,159,159,195,208,197,183,148,142,2885
Baltimore County,2040,Non-Hisp White Male,8618,8377,8371,10107,10231,9646,9282,9598,10098,10708,11461,11029,10084,9290,9974,9983,8273,9103,174233
Washington County,2030,Non-Hisp Black Male,966,931,851,979,1452,1523,1350,1268,1075,893,782,613,567,413,160,76,33,2,13934
Prince George's County,2045,Hispanic Female,7217,6512,6382,6722,6613,5959,6498,5352,5805,4721,5377,6471,6832,5429,3372,2337,1111,453,93163
Charles County,2020,Total,10550,10533,11626,12077,10423,10838,10170,9947,9706,11568,13435,13466,10689,7867,5968,4084,2160,1935,167042
Frederick County,2045,Total,21124,21654,22677,22243,19658,18017,17866,20869,25104,24135,21588,17608,15922,14120,13873,14618,14449,18614,344139
State of Maryland,2025,Total Non-Hispanic White,151994,146455,145888,149746,158065,176523,196252,201550,183058,160218,169676,203117,231883,216065,177721,143718,92630,96181,3000740
Kent County,2040,Total Male,389,461,440,605,626,435,462,581,508,698,917,768,773,833,788,874,584,442,11184
Dorchester Co,2015,Non-Hisp Other Female,32,80,53,40,36,44,39,32,33,25,35,42,27,19,18,4,3,3,565
St. Mary's County,2040,Total Non-Hispanic Black,1819,1912,1997,2016,1692,1644,1629,1724,1647,1910,1750,1660,1228,1096,1043,796,516,353,26432
St. Mary's County,2020,Non-Hisp Other Male,270,292,544,483,307,224,194,177,180,146,181,179,159,76,61,34,11,18,3536
Baltimore City,2015,Non-Hisp Other Male,968,842,779,1087,1366,1731,1736,1175,972,733,675,592,462,311,166,106,33,15,13749
Garrett County,2015,Total Male,702,836,961,1100,844,691,760,821,904,966,1140,1202,1070,960,737,479,259,226,14658
Garrett County,2020,Non-Hisp White Male,663,714,870,904,843,720,697,804,858,852,1000,1193,1200,1024,829,574,327,233,14305
Harford County,2035,Total Hispanic,1522,1399,1436,1483,1610,1710,1488,1254,1059,864,926,792,717,544,426,331,194,71,17826
Allegany County,2040,Non-Hisp Other Male,128,139,132,152,131,72,125,128,71,62,59,39,32,24,16,10,7,15,1342
